No.;Company;Project;Location;"Status (2022)  1: Crushing roughing: Operate mineral concentration; 3: mixed REO; 4:Operate seprated REO; 5 Metal; T Trial production; P Pre-feasibility study; PT Project terminated";Capacity;Yield;Upstream;Downstream;Status Ref.;Capacity Ref.;Yield Ref.;Upstream Ref.;Downstream Ref.
1;Lynas Rare Earths;Mount Weld Plant;Mount Weld, Australia;2;66kt/y concentration (contain 26500t REO);;Mount Weld;Kuantan plant;;https://lynasrareearths.com/about-us/locations/mt-weld-western-australia/;;;
2;;Kuantan Plant;Kuantan;4;~20kt;15761t/y (REO, 2021);Kuantan plant;Japan, Europe, China, and North America;;;https://lynasrareearths.com/wp-content/uploads/2022/05/Lynas-Malaysia-Economic-Impact-Assessment-2022.pdf;;
3;;Kalgoorlie Plant;Kalgoorlie,Australia;3(2023);;-;;-;;;;;
4;;HREE separate Plant;Hondo, Texas, USA;;5000t/y (REO, containing 1250t/PrNd);;Kalgoorlie plant;;;"https://news.cnpowder.com.cn/58843.html; https://smcorridornews.com/texas-is-home-to-one-of-the-largest-deposits-of-rare-earths-in-the-u-s/";;;
5;MP Materials;Mountain Pass Plant;Central Mojave Desert, California, USA;2;;42413t/y（2021, REO）;Mountain Pass;China;;;MP Materials Reports First Quarter 2021 Results；MP Materials Reports Fourth Quarter and Full Year 2020 Results;;https://www.defensenews.com/opinion/commentary/2019/11/12/the-collapse-of-american-rare-earth-mining-and-lessons-learned/； http://roskill.cn/Index/news/id/1010
6;;HREE facility;Mountain Pass, California;;;;;;https://www.defense.gov/News/Releases/Release/Article/2941793/dod-awards-35-million-to-mp-materials-to-build-us-heavy-rare-earth-separation-c/;;;;
7;;Texas Rare Earth Magnetics Factory;Fort Worth, Texas;5(2023);;1000t NFeB metal;Mountain pass;;;;;https://mpmaterials.com/articles/mp-materials-begins-construction-on-texas-rare-earth-magnetics-factory-to-restore-full-us-supply-chain/;
8;Iluka Resources Limited;Eneabba Plant;Eneabba, Australia;3, 4(2025);;;;;;;;;
9;;Wimmera Plant;Wimmera and Mallee, Western Victoria, Australia;P, 1(?);192kt/y (heavy mineral);;WIM 100;China;;https://www.planning.vic.gov.au/environment-assessment/browse-projects/projects/wimmera-mineral-sands#overview;;https://iluka.com/CMSPages/GetFile.aspx?guid=d7c54915-6414-48b8-9efe-eadd1ae9f6c8;https://iluka.com/CMSPages/GetFile.aspx?guid=d7c54915-6414-48b8-9efe-eadd1ae9f6c8
10;Australian Strategic Materials;Daejeon Plant;Daejeon, South Korea;T, 4(?);;200kg Fe-Nd(Nd80%，Fe20%) metal；6kg NdFeB Magnetic alloy;Dubbo;;;;;;
11;;Korean Metals Plant;Cheongju, South Korea;P, 4(2022);2200t/y;"NdFeB metal 40t (2021)，1900t (2022); 582t (metal, 2021); 4282t (metal, 2022)";Dubbo;;;Quarterly Activities Report to 31 March 2022 ;;;
12;Greenland Minerals Limited;Kvanefjeld plant;Narsaq, Greenland, Australia;P, 1(?);32100t/y (contain 5692t PrNd, 270T Dy, 44t Tb);"Pr,Nd oxide 5690t/a; Tb 44t/a, Dy 270 t/a";Kvanefjeld;Europe;;Positioning Greenland To Be A Major International Rare Earth Supplier;https://wcsecure.weblink.com.au/pdf/GGG/02515570.pdf;-;
13;Pensana Rare Earths Plc;Longonjo beneficiation plant;Longonjo, Angola;P, 1(2022);56kt/y (concentration);;;;LSE Admission July 2020；Commencing development of the world’s first Freeport rare earth processing hub;;;;nterim results for the six months ended 31 December 2020
14;;Saltend rare earth processing center;Saltend, UK;P, 4(2025);12500t/y (REOs, containing 4500t NdPr);;;China;Commencing development of the world’s first Freeport rare earth processing hub;Commencing development of the world’s first Freeport rare earth processing hub;;;ASX RELEASE，15 November 2019，Preliminary Feasibility Study
15;Energy Fuels;White Mesa Mill plant;Utah, USA;1;15kt/t monazite sand可以处理1.5万吨独居石砂，约占其矿石处理能力为72万吨/年;"650-1000t (REO carbonate); 300-450t TREO";Georgia;Sillamäe, Estonia;;https://www.energyfuels.com/2022-05-16-Energy-Fuels-Announces-Q1-2022-Results,-Including-Continued-Robust-Balance-Sheet,-Market-Leading-U-S-Uranium-Position-Rare-Earth-Production;https://www.energyfuels.com/2022-05-16-Energy-Fuels-Announces-Q1-2022-Results,-Including-Continued-Robust-Balance-Sheet,-Market-Leading-U-S-Uranium-Position-Rare-Earth-Production;https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain;https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain
16;Neo Performance Materials;Silmet Rare Earth Separation Plant;Sillamäe, Estonia;4;3000t REO metal;7348t/y (oxide, 2020);White Mesa Mill;"Japan, China, Tailand Magnetic powder factory; Estonia, Singapore, Germany, United Kingdom, Canada, United States and South Korea";Neo performance meterials presentation;https://www.sillamae.ee/web/eng/molycorp-silmet；https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain;Neo Performance Materials Reports Fourth Quarter 2020 And Year-End Results;https://www.energyfuels.com/2021-07-07-Energy-Fuels-and-Neo-Performance-Materials-Announce-Contract-Signing-and-Launch-of-Commercial-Shipments-of-Rare-Earth-Product-to-Europe-in-Emerging-U-S-Based-Rare-Earth-Supply-Chain;Neo performance meterials presentation
17;;Korat rare earth metal plant;Korat, Thailand;5;;;Sillamäe, Estonia;;Neo performance meterials presentation;;;Neo performance meterials presentation;
18;Tanbreez Mining Greenland AS;Tanbreez plant;Kujalleq, Greenland;P, 1(?);;100kt/y (Eudialyte concentration);Tanbreez;;"https://news.91jinshu.com/xitu/202008/19079.html
http://tanbreez.com/en/construction-phase/";;http://tanbreez.com/en/construction-phase/;;
19;Leading Edge Materials;Norra Kärr plant;South central sweden;P, 4(?);5120t/y (REO, containing 200t/y Dy2O3);;Norra Kärr;;https://leadingedgematerials.com/norra-karr/;https://leadingedgematerials.com/norra-karr/;;;
20;Vital Metals;Saskatoon plant;Saskatchewan, Canada;P, 3(2023);;;Nechalacho;;;;;http://www.cre-ol.com/newsitem/278403394;
21;Peak Resources;Ngualla plant;southern tanzania;P, 1(?);32700t (concentration, containing REO 14700t );;Ngualla;Tees Valley plant;;https://peakrareearths.com/ngualla-project/;;https://peakrareearths.com/ngualla-project/;https://peakrareearths.com/ngualla-project/
22;;Tees Valley rare earth refinery;Wilton International, Teeside, UK;P, 4(?);"neodymium praseodymium oxide, 2810t; Lanthanum oxide, 4230t/y; Cerium oxide, 1920t/y; 330t/y mixed HREE. (Total 9300t/y)";;Ngualla plant;;200121-Updated-PP-Handout-CN;Powering the green transformation;;https://peakrareearths.com/teesside-refinery/;
23;Northern Minerals Limited;Browns Range pilot plant;Tanami, Australia;T;;;Browns Range;;https://northernminerals.com.au/;;;;
24;"Texas Mineral Resources Corp.
USA Rare Earth LLC";Wheat Ridge pilot separation plant;Merry Ridge, Colorado, USA;T, 4(?);2313t/y;;Arafura Resources;Neo magnet factory;https://www.chinascrap.com/news/detail?id=93891;http://tmrcorp.com/news/press_releases/index.php?content_id=239;;https://www.chinascrap.com/news/detail?id=93891;
25;;neo-magnet manufacturing facility;Stillwater, Oklahoma;P, 5(?);;;Wheat Ridge plant;;https://apnews.com/article/politics-china-united-states-oklahoma-stillwater-a7ed6424f2975c41bca402a84df52998;;;;
26;Arafura Resources;Nolans plant;Nolans, Australia;P, 4(?);"4440t/y (PrNd oxide); 470t/y (mixed MREO and HREO)";;Nolans;;;https://www.arultd.com/projects/nolans.html#nolans-img;;https://www.arultd.com/projects/nolans.html#nolans-img;
27;Ucore Rare Metals Inc.;Rare Earth Separation Plant for HREE;Ketchikan, Southeast Alaska,USA;P,4(2023);2250t/y (REO);;"US-allied feedstock(s); BokanMountain";;https://ucore.com/ucore-chairman-ceo-provides-strategic-update-to-shareholders-taking-action-today-to-secure-tomorrow/;Bokan-Dotson Ridge Economics Impacts Report;;https://ucore.com/ucore-chairman-ceo-provides-strategic-update-to-shareholders-taking-action-today-to-secure-tomorrow/;
28;;Lower 48’ SMC;;P;;;;;https://ucore.com/ucore-chairman-ceo-provides-strategic-update-to-shareholders-taking-action-today-to-secure-tomorrow/;;;;
29;Torngat Metals Limited;Strange Lake plant;Nunavik, Quebec, Canada;P, 1(2024);1346kt/y (ore);;Strange Lake;Becancour plant;;;;;https://miningdataonline.com/property/1598/Strange-Lake-Project.aspx
30;;Becancour Rare Earth Separation Plant;Becancour, Quebec, Canada;P, 3(2024);11150t/y (REO);;Strange Lake plant;;https://www.chinascrap.com/news/detail?id=93891;https://www.chinascrap.com/news/detail?id=93891;https://www.chinascrap.com/news/detail?id=93891;;
31;Medallion resources LTD.;Refining of PrNd oxide from monazite;North America;P, 4(?);870t/y (PrNd oxide);;America and Australia monazite sand;;https://www.ccmn.cn/news/ZX018/202106/98f2f89eef014e16a57e2fd82a8ca9fb.html；https://medallionresources.com/2020/10/medallion-completes-siting-study-for-north-american-rare-earth-element-production-facility/;https://medallionresources.com/2021/07/completion-of-techno-economic-assessment/;;https://medallionresources.com/2021/07/loi-partnership-medallion-monazite-process-se-australia/；https://www.ccmn.cn/news/ZX018/202106/98f2f89eef014e16a57e2fd82a8ca9fb.html;
32;Rare Element Resources Ltd;Wyoming refining Plant;Upton,Wyoming, USA;P, 4(?);;1000t (ore);Bear Lodge;;http://www.rareelementresources.com/investor-information/overview/2021/05/17/rare-element-resources-reports-progress-on-u.s.-department-of-energy-funding-for-rare-earth-separation-and-processing-demonstration-plant#.YP6lJ-gzYdU;;June 2021 Corporate Presentation;;
33;Shin-Etsu Chemical Co. Ltd;Vietnam Magnet plant;Hai Phong, Vietnam;5;2200t/y (Rare earth magnets);;Vietnam, China;;https://finance.huanqiu.com/article/9CaKrnJu0PB;;;https://finance.huanqiu.com/article/9CaKrnJu0PB;
34;;Thailand magnet plant;Pathumthani, Thailand;5;;;;;https://www.shinetsu-rare-earth-magnet.jp/e/profile/;;;;
35;;Malaysia plant;Shah Alam, Selangor Darul Ehsan, Malaysia;5;;;;;https://www.shinetsu-rare-earth-magnet.jp/e/profile/;;;;
36;;Takefu plant;Fukui, Japan;5;;;;;https://www.shinetsu-rare-earth-magnet.jp/e/profile/;;;;
37;Hasting Technology Metals;Yangibana plant;Gascoyne Region, Australia (about 251 km northeast of Carnarvon);P, 1(2024);1200kt/y (ore);;;;2020111 presentation;;;;
38;;Onslow hydrometallurgical Rare Earth processing plant;Onslow town, Australia;P,3(?);8500 t/y (TREO);;Yangibana;;2020111 presentation;202111presentation;;;
39;Rainbow Rare Earths;Gakara plant;Burundi;T;10-20kt/y (concentration);5000t/y (REO concentration);Gakara;East African port of ThyssenKrupp Materials Trading;2020 annual report;2020 annual report;https://rainbowrareearths.com/our-projects/gakara-project/;;https://rainbowrareearths.com/our-projects/gakara-project/；2020年报
40;Ionic Rare Earths;Makuutu processing plant;121km east of Kampala, Uganda;P, 1(?);;;Makuutu;;;;;;
41;Indian Rare Earths Limited;Manvalkurichi (Tamil Nadu) Mineral sorting plant;Manvalkurichi, Tamil Nadu, India;1;;;;;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html;;;;
42;;Odisha Rare Earth Refinery;Odisha, India;3;11000t;;;;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html;;;
43;;Aluva high purity Rare Earth Refinery;Aluva, Kerala, India;4;;3000t/y;;;"https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html；印度稀土有限公司聘请特许会计师事务所作为外包内部审计师的建议书(RFP),OSCOM单位,ODISHA; https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html；https://economictimes.indiatimes.com/company/indian-rare-earths-limited/U15100MH1950GOI008187";;USGS, 2021;;
44;MkangoResources;Songwe Hill plant;Southeastern Malawi;P, 3(2022);;;;;;;;;
45;;Pulawy rare earth separation plant;Pulawy, Poland;P, 4(2022);2000t/y (PrNd oxide), 50t/y (DyTb carbonate);;Songwe Hill;Europe;;https://www.mkango.ca/news/mkango-to-create-european-rare-earths-hub-in-poland-with-grupa-azoty-pulawy-polands-leading-fertiliser-and-chemicals-company/;;;
46;Commerce Resources Corp;Ashram plant;Northern Quebec, Canada;;;;;;;;;;
47;Quebec Precious Metals Corp;Kipawa plant;Zeus property, Canada;PT;3653t/y (REO);;Kipawa;;;https://www.dropbox.com/s/tgzcn597zjil9z8/061623.003-FinRep_Matamec-NI43-101-20131017-001-Appen.pdf?dl=0;;https://www.dropbox.com/s/tgzcn597zjil9z8/061623.003-FinRep_Matamec-NI43-101-20131017-001-Appen.pdf?dl=0;
48;Steenkampskraal Holdings Ltd（Steenkampskraal monazite mine (PTY) LTD）;Steenkampskraal矿山加工厂;Western Cape, South Africa;P, 3(?);2700t/y;;Steenkampskraal;;;https://www.steenkampskraal.com/attributes/;;https://www.steenkampskraal.com/the-mine/;
49;Canada Rare Earth Corporation;Brazil Rare Earth Refinery 1;Brazil;P, 4(?);;;;;http://www.canadarareearth.com/9-june-2020;;;;
50;;Brazil Rare Earth Refinery 2;Brazil;P, 4(?);;;;;http://www.canadarareearth.com/9-june-2020;;;;
51;;Laos Rare Earth Refinery;Laos;4;500-12000t/y;;;;;;;http://www.canadarareearth.com/9-june-2020;
52;Commerce Resources Corp;Ottawa Pilot Processing Plant;Ottawa, Ontario, Canada;P, 3(?);16850t/y;;;;https://commerceresources.com/commerce-resources-corp-announces-flotation-pilot-plant-as-part-of-the-canmetmining-collaboration-on-the-ashram-rare-earth-and-fluorspar-deposit/;https://commerceresources.com/projects/the-ashram-rare-earth-element-and-fluorspar-deposit/;;;
53;ThreeArc Mining LLC;Krasnokamensk Hydrometallurgical Facility;Krasnokamensk, Transbaikal Krai, Russia;P, 4(2024);"3571t/y La2O3; 6625t/y Ce2O3; 650t/y Pr6O11; 1964t/y Nd2O3; 1844t/y MREE and HREE enriched concentration";;Tomtor;;https://www.threearc.ru/en/；https://threearc.ru/en/pererabotka-rudy.php;https://threearc.ru/en/news/detail.php?ID=202；俄罗斯自然资源部2021报告;;https://threearc.ru/en/news/detail.php?ID=202;https://threearc.ru/en/news/detail.php?ID=202
54;LLC Lovozersky GOK;Karnasurt plant;Murmansk Region, Russia;1;;9542t/y (loparite concentration);Lovozersky;OAO Solikamsk Magnesium plant;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).
55;;"OJSC ""Solikamsk Magnesium Plant""";Perm region, Russia;3;;2700t/y (REO);Karnasurt plant;Silmet plant;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).
56;Apatit JSC (PhosAgro PJSC);PJSC PhosAgro Cherepovets (pilot production);Cherepovets, Vologda region;T;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
57;;Oriental Plant;;;;;Koashvinskoe;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
58;;Kirovsky Plant;;;;;Kukisvumchorr, Yuksporskoe;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
59;PJSC Acron ;PJSC Acron Veliky Novgorod (industrial site);;;;;Deer Creek, Partomchorrskoye;;;;;;
60;LIT LLC;Rare Earth Refinery;Solikamsk city (Perm region), Russia;P, 4(?);processing concentration 1000t/y;;JSC Solikamsk;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
61;Frontier Rare Earths Ltd.;Zandkopsdrift Plant;Northern cape ,South Africa;P, 1(?);;;Zandkopsdrift项目;Saldanha Rare Earth Separation Plant;;;;;
62;;Saldanha Rare Earth Separation Plant;Saldanha, South Africa;P, 3(?);;;Zandkopsdrift plant;South Korea;;;;;https://frontierrareearths.com/chinese/
63;Hochschild Mining;REE refine Factory;Biobio, Chile;P, 3(2023);;;;;http://biolantanidos.com/proyecto.html;;;;
64;Search minerals Inc.;Primary Production Plant;Southeastern Labrador, Canada;P, 1(?);;;;;;;;;
65;;Hydrometallurgical Processing Plant;Island of Newfoundland;P, 3(?);;;;;;;;;
66;;Rare Earth Separation Processing;Island of Newfoundland;P, 4(?);;;;;;;;;
67;SOQUEM;Kwyjibo concentrator factore;Lake Manitou, Québec, Canada;P, 1(?);;;;;;;;;