Project No.;Deposit No.;Company Name;Project Name;Location;Continent;" Status (2022), 1: Exploration/ Define resource; 2: Feasibility/ Pre-feasibility; 3: Construction; 4: Production; S: Suspending mining; T: Test of Metallurgical; D: Development licence; N: Not Use";Deposit type;Resource (*10^4 t, REO, Total);Grade (wt. %);La2O3;Ce2O3;Pr6O11;Nd2O3;Sm2O3;Eu2O3;Gd2O3;Tb4O7;Dy2O3;Ho2O3;Er2O3;Tm2O3;Yb2O3;Lu2O3;Y2O3;HREE percentage;REE pattern Ref.;Project and status Ref.;Deposit type Ref.;Resource and grade Ref.;
34;28;Torngat Metals Limited;Strange Lake;Nunavik, Quebec, Canada;North America;2, 4(2024);Alkaline/Alkaline granite;49,2;0,89;13,51955307;30,61452514;3,351955307;12,40223464;2,681564246;0,111731844;2,681564246;0,558659218;3,463687151;0,782122905;2,458100559;0,335195531;2,458100559;0,335195531;24,24581006;37,31843575;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://www.chinascrap.com/news/detail?id=93891；https://www.micon-international.com/torngat-metals-ltd;https://miningdataonline.com/property/1598/Strange-Lake-Project.aspx;https://miningdataonline.com/property/1598/Strange-Lake-Project.aspx;
35;29;Serra Verde mineracao;Serra Verde;Minasu County, Goias, Brazil;South America;2,4(2021);Ionic Clay;109,32;0,12;22,01257862;34,59119497;4,402515723;13,20754717;2,51572327;0;1,886792453;0,628930818;1,886792453;0,628930818;1,257861635;0;1,257861635;0;15,72327044;23,27044025;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://svpm.com.br/home;https://web.b.ebscohost.com/abstract?site=ehost&scope=site&jrnl=10297006&AN=140489001&h=iMEJBANssRczjPx%2f%2bblQPTgxFVsmnIwqlvL9FqZebPvnSOl7JKgwi7WYg4g%2bfB1fUFXGpK2mNh0fopzLi9XC1Q%3d%3d&crl=c&resultLocal=ErrCrlNoResults&resultNs=Ehost&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d10297006%26AN%3d140489001;Serra Verde, 2015, https://www.cetem.gov.br/antigo/images/palestras/2015/iiisbtr/05-denilson-fonseca.pdf;
36;30;ACDC Metals Pty Ltd;Monazite Sand;Murray Basin, Australia;Australia;2;Placer;;;;;;;;;;;;;;;;;;;;https://medallionresources.com/2021/07/loi-partnership-medallion-monazite-process-se-australia/;;;
37;31;Rare Element Resources Ltd;Bear Lodge;Benoji Mountains, Wyoming, America;North America;T,3(2023);Carbonatite;49,8;3,05;26,43253235;43,77079482;4,916820702;17,89279113;2,883548983;0,628465804;1,515711645;0,11090573;0,406654344;0,036968577;0,073937153;0;0,036968577;0;1,293900185;3,475046211;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;June 2021 Corporate Presentation（http://www.rareelementresources.com/investor-information/presentations#.YP56aOgzYdU）;June 2021 Corporate Presentation（http://www.rareelementresources.com/investor-information/presentations#.YP56aOgzYdU）;http://www.rareelementresources.com/bear-lodge-project#.YP6ECegzYdU;
38;32;RareX;Cummins Range;Kimberley Region, Western Australia, Australia;Australia;1, 2(2021);Carbonatite;21,62;1,15;26,86567164;46,72789897;4,822043628;15,67164179;1,894374282;0,344431688;1,148105626;0;0,516647532;0;0,057405281;0;0;0;1,951779564;3,673938002;Paulick and Machacek;http://roskill.cn/Index/news/id/1010;;RareX, RAREX DELIVERS MAJOR RESOURCE UPGRADE AT CUMMINS RANGE RARE EARTHS PROJECT, WA, 2021, https://wcsecure.weblink.com.au/pdf/REE/02396566.pdf;
39;33;Hasting Technology Metals;Yangibana (Gifford Creek);Gascoyne Region, Western Australia, Australia;Australia;3,4(2024);Carbonatite;26,64;0,97;9,529089893;36,2076616;6,967295829;33,6844863;5,533124856;1,155742551;2,637622635;0,24124442;0,859171167;0,089935469;0,183036675;0,023633566;0,144844433;0,018685668;2,724424929;6,922598961;Slezak et al., 2020;https://hastingstechmetals.com/projects/yangibana/；29 Apr 2021 Quarterly Activities Report;;Hastings Technology Metals Limited, Investor Presentation, 2021, https://www.investi.com.au/api/announcements/has/bb2da2ab-afa.pdf;
40;34;;Brockman;East Kimberley, Australia;Australia;;Alkaline rock;8,694;0,21;13,72260101;30,42432049;0;12,50504205;2,776031005;0,263615914;0;0,746544385;0;1,242322257;0;0;3,593288701;0,523095377;34,20313882;40,30838954;Taylor et al., 1995;https://hastingstechmetals.com/projects/brockman/;Jaireth et al., 2014, OGR;https://hastingstechmetals.com/projects/brockman/;
41;35;Krakatoa resources LTD.;Mt Clere;Gascoyne, Western Australia;Australia;1;Carbonatite/ Ionic Clay/ Monazite sands;30,1;0,058;;;;;;;;;;;;;;;;;;https://thewest.com.au/business/public-companies/frontier-snags-rare-earths-near-world-class-deposit-c-4745936;https://www.ktaresources.com/mt-clere-rare-earth-project/;;
42;36;;Rand;New south wales, Australia;Australia;1(2022);Ionic Clay;;;;;;;;;;;;;;;;;;;;https://www.ktaresources.com/presentations/;;;
43;37;Lanthanein Resources (Frontier Resources LTD);Gascoyne (Edmund & Lyons);Gascoyne, Australia;Australia;1, 4(2023);Carbonatite;;;;;;;;;;;;;;;;;;;;https://newswire.iguana2.com/af5f4d73c1a54a33/lnr.asx/6A1092535/LNR_Company_Name_Change_New_ASX_Code_LNR;;;
44;38;;Murraydium;Southeastern South Australia and Western Victoria, Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;http://www.lanthanein.com/projects/murraydium/;;;
45;39;;Mt Clere;Eastern Gascoyne Province, Australia;Australia;1;Carbonatite;;;;;;;;;;;;;;;;;;;;http://www.lanthanein.com/projects/mt-clere/;;;
46;40;Kingfisher Mining;Kingfisher;Gascoyne, Australia;Australia;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://kingfishermining.com.au/gascoyne/;;;
47;41;;Mick Well ;Gascoyne, Australia;Australia;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://kingfishermining.com.au/projects/;;;
48;42;;Arthur River;Gascoyne, Australia;Australia;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://kingfishermining.com.au/projects/;;;
49;43;Dreadnought Resources;Mangaroon;Gascoyne, Australia;Australia;1;Mafic-ultramafic Magma;;;;;;;;;;;;;;;;;;;;https://www.dreadnoughtresources.com.au/project/mangaroon-ni-cu-pge-au-project/;;;
50;44;Australian Rare Earth LTD.;Koppamurra;Southeastern South Australia and Western Victoria;Australia;1;Ionic Clay;6,3585;0,0785;;;4,41;17,19;;;;0,48;2,65;;;;;;;3,13;Australian rare earths' Investor Presentation, 2021, 11;Australian Rare Earth LTD., Corporate Presentation July 2021;Australian Rare Earth LTD., Corporate Presentation July 2021;Australian Rare Earth LTD., Koppamurra emerges as a globally significant critical rare earths project with 104% increase in Mineral Resource, 2022, https://ar3.com.au/4-7-22-104-increase-in-mineral-resource-at-koppamurra-project/;
51;45;Resource Base Limited.;Miter Hill;Victoria, Australia;Australia;D;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://resourcebase.com.au/projects/mitre-hill-project/;https://resourcebase.com.au/projects/mitre-hill-project/;;
52;46;Rainbow Rare Earths;Phalaborwa;Phalaborwa, South Africa;Africa;T, 2021(2);Carbonatite;16,5;0,43;20,34774944;39,72310013;5,707943234;23,65700047;4,505462779;1,112924958;2,685081478;0,295083355;1,205954472;0,198741021;0,401445191;0;0,145620257;0,013893214;0;4,945818989;Jaireth et al., 2014, OGR;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;Eriksson, S. C. (1984). Age of carbonatite and phoscorite magmatism of the Phalaborwa Complex (South Africa). Chemical geology, 46(4), 291-299.;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
53;47;;Gakara (Murambi South);Bujumbura, Burundi;Africa;S;Carbonatite;31,85;9,5;30,08888076;41,36516177;3,005737334;19,96371349;2,9101367;0,548519478;1,51439072;0;0,193469536;0,016607538;0,025613239;0;0,004390068;0,000273596;0,363105778;2,117850474;Buyse et al., 2020;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
54;;;Gakara (Gasagwe);Bujumbura, Burundi;Africa;4(2017-2019);Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;https://rainbowrareearths.com/wp-content/uploads/2021/01/Exploration-Target.png;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
55;;;Gakara (Rusutama);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
56;;;Gakara (Gakara);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
57;;;Gakara (Gomvyi Central);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
58;;;Gakara (Gashirwe West and East);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
59;;;Gakara (Bigugo);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
60;;;Gakara (Gasenyi);Bujumbura, Burundi;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
61;;;Gakara (Kiyenzi);Bujumbura, Burundi;Africa;1;Carbonatite;29,7;1,25;30,08888076;41,36516177;3,005737334;19,96371349;2,9101367;0,548519478;1,51439072;0;0,193469536;0,016607538;0,025613239;0;0,004390068;0,000273596;0,363105778;2,117850474;Buyse et al., 2020;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;;Rainbow Rare Earths, Corporate-Presentation, 2022, https://www.rainbowrareearths.com/wp-content/uploads/2022/03/2022-03-Rainbow-Corporate-Presentation_v2.pdf;
62;48;Ionic Rare Earths;Makuutu;Eastern Kampala, Uganda;Africa;T, 2(2021);Ionic Clay;34,48;0,064;20,8;25;4,9;19;3,6;0,7;3,5;0,4;2,7;0,5;1,5;0,5;1,3;0,2;15,3;25,9;Ionic rare earths limited annual report 2020;;;https://www.listcorp.com/asx/ixr/ionic-rare-earths-limited/news/updated-exploration-target-for-makuutu-rare-earths-2716697.html;
63;49;American rare Earths;La Paz;La Paz County, Arizona, America;North America;1;Metamorphic rocks (quartz feldspar gneiss), sedimentary layers, basic rock layers;8;0,0469;19,04761905;40,47619048;4,761904762;16,66666667;2,380952381;0;2,380952381;0;2,380952381;0;0;0;0;0;11,9047619;16,66666667;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://americanrareearths.com.au/la-paz-rare-earth-project/;RAIN11 February 2021 Taylor Collison ReportBOW RARE EARTHS PRESENTATION2021.5;https://americanrareearths.com.au/wp-content/uploads/2022/05/20220517-ARR-presentation-2382827.pdf;
64;50;;Halleck Creek (Laramie);Albany County, Wyoming, America;North America;1&T;Alkaline rock;;;;;;;;;;;;;;;;;;;;2020 annual report；11 February 2021 Taylor Collison Report；High-Grade Surface Sampling from Expanded Halleck Creek Project, TREO averaging >3000 ppm;11 February 2021 Taylor Collison Report;;
65;51;;Searchlight Nevada project;Nevada, America;North America;1;Hydrothermal/IOCG;;;;;;;;;;;;;;;;;;;;"https://americanrareearths.com.au/wp-content/uploads/2021/10/ARR-Investor-Presentation-October-FINAL.pdf; 11 February 2021 Taylor Collison Report";https://americanrareearths.com.au/wp-content/uploads/2021/10/ARR-Investor-Presentation-October-FINAL.pdf;;
66;52;Indian Rare Earths Limited;Chavara (Kerala);Chavara, Kerala, India;Asia;4;Placer;3,42;0,275;24,54;48,74;4,14;20,56;1,298;;;;;;;;;;0,73;0,73;Anitha et al., 2020;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html；https://economictimes.indiatimes.com/company/indian-rare-earths-limited/U15100MH1950GOI008187;;;
67;53;;Manvalkurichi;Manvalkurichi, Tamil Nadu, India;Asia;4;Placer;;;15,7;30,6;2,9;10,5;;;;;;;;;;;0,04;0,04;Jaireth et al., 2014, OGR;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html；https://economictimes.indiatimes.com/company/indian-rare-earths-limited/U15100MH1950GOI008187;;;
68;54;;Chhatrapur;Chhatrapur, Odisha, India;Asia;4;Placer;;;;;;;;;;;;;;;;;;;;https://www.indiamart.com/indian-rare-earths-ltd-kanyakumari/about-us.html；https://economictimes.indiatimes.com/company/indian-rare-earths-limited/U15100MH1950GOI008187;;;
69;55;Atomic Minerals Directorate (AMD) ;Amba Dongar;Chhota Udepur, Gujarat, India;Asia;1;Carbonatite;20,76;1,73;29,07;54,38;3,68;9,1;0,84;0,18;0,67;0,06;0,24;0,04;0,13;0,01;0,07;0,01;1,51;2,74;Chandra et al., 2017;Krishnamurthy, P. (2020). Rare Metal (RM) and Rare Earth Element (REE) Resources: World Scenario with Special Reference to India. Journal of the Geological Society of India, 95(5).;Krishnamurthy, P. (2020). Rare Metal (RM) and Rare Earth Element (REE) Resources: World Scenario with Special Reference to India. Journal of the Geological Society of India, 95(5).;Krishnamurthy, P. (2020). Rare Metal (RM) and Rare Earth Element (REE) Resources: World Scenario with Special Reference to India. Journal of the Geological Society of India, 95(5).;
70;56;MkangoResources;Songwe Hill;Southeastern Malawi;Africa;2;Carbonatite;36,62;1,33;24,64454976;44,61746784;4,8070413;16,3845633;2,369668246;0,541638456;1,354096141;0,135409614;0,812457684;0,135409614;0,270819228;0,067704807;0,203114421;0;3,65605958;6,63507109;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;;https://www.mkango.ca/projects/songwe/;https://www.mkango.ca/projects/songwe/;
71;57;;Nkalonje Hill ;Southeastern Malawi;Africa;1;Carbonatite;;;27,56618337;50,97742191;4,483156604;11,62807473;0,865613504;0,205583207;0,432806752;0,06131429;0,367885739;0,079347904;0,248863882;0,039673952;0,259684051;0,036067229;2,748322874;4,273966674;https://www.mkango.ca/projects/exploration/nkalonje-hill/;https://www.mkango.ca/projects/exploration/nkalonje-hill/;;;
72;58; Quantum Minería (QM) company;Matamulas;Matamuras, Ciudad Real, Spain;Europe;1;Placer;4,6;;;;;;;;;;;;;;;;;;;STRENGTHENING THE EUROPEAN RARE EARTHS SUPPLY-CHAIN Challenges and policy options A REPORT BY THE EUROPEAN RARE EARTHS COMPETENCY NETWORK (ERECON), 2017;STRENGTHENING THE EUROPEAN RARE EARTHS SUPPLY-CHAIN Challenges and policy options A REPORT BY THE EUROPEAN RARE EARTHS COMPETENCY NETWORK (ERECON), 2017;http://www.interempresas.net/Mineria/Articulos/141759-Tierras-raras-Trabajos-de-investigacion-en-el-yacimiento-de-monacitas-de-Matamulas.html;
73;59;Steenkampskraal Holdings Ltd（Steenkampskraal monazite mine (PTY) LTD）;Steenkampskraal;Western Cape, South Africa;Africa;3;Hydrothermal/IOCG (Monazite veins);8,69;14,4;20,76428571;45,28571429;5,121428571;17,97857143;2,871428571;0,064285714;1,957142857;0,214285714;1;0,142857143;0,292857143;0,028571429;0,128571429;0,014285714;4,135714286;7,914285714;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://www.steenkampskraal.com/geology/;https://www.steenkampskraal.com/geology/;https://www.steenkampskraal.com/the-mine/;
74;60;Idaho Strategic Resources;Diamond Creek;Eureka Mining district, the town Salmon, Idaho, America;North America;1;Hydrothermal/IOCG (Quartz veins);7,08;1,22;;;;;;;;;;;;;;;;;;https://newjerseymining.com/new-jersey-mining-company-provides-second-quarter-results-of-operations-and-corporate-activities/;;https://newjerseymining.com/diamond-creek/;
75;61;;Roberts Rare Earth Element;Mineral Hill, the town Salmon, Idaho, America;North America;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://newjerseymining.com/roberts/；https://newjerseymining.com/new-jersey-mining-co-extensively-expands-its-high-grade-roberts-rare-earth-element-land-package/;https://newjerseymining.com/roberts/;;
76;62;NioCorp Developments;Elk Creek;Elk Creek, Nebraska, America;North America;1;Carbonatite;104;0,3504;23,05398151;39,81509096;4,264837459;15,627796;3,847300925;1,371905756;3,280644199;0,357888458;1,431553832;0,208768267;0,447360573;0,059648076;0,298240382;0,029824038;5,934983597;12,04891142;https://secureservercdn.net/198.71.233.156/gx0.d43.myftpupload.com/wp-content/uploads/NioCorp_Presentation_June-2022.pdf;https://www.niocorp.com/niocorp-scores-initial-success-in-metallurgical-testing-of-elk-creek-ore-samples-to-optimize-process-and-demonstrate-potential-extraction-of-rare-earth-elements/;;https://secureservercdn.net/198.71.233.156/gx0.d43.myftpupload.com/wp-content/uploads/NioCorp_Presentation_June-2022.pdf;
77;63;MFC Industrial Ltd. &Wings Enterprises&Alberici Constructors%Wings Enterprises;Pea Ridge;St. Louis, Missouri, America;North America;S;Hydrothermal/IOCG;7,2;12;25,38;44,86;3,98;13,16;2,73;0,22;1,12;0;1,25;0,19;0,6;0;0,92;0,12;5,48;9,68;Long et al., 2010, The Principal Rare Earth Elements Deposits of the United States: A Summary of Domestic Deposits and a Global Perspective;;Mercer, C. N., Watts, K. E., & Gross, J. (2020). Apatite trace element geochemistry and cathodoluminescent textures—A comparison between regional magmatism and the Pea Ridge IOAREE and Boss IOCG deposits, southeastern Missouri iron metallogenic province, USA. Ore Geology Reviews, 116, 103129.;The Principal Rare Earth Elements Deposits of the United States—A Summary of Domestic Deposits and a Global Perspective;
78;64;Canada Rare Earth Corporation;Red Wine (Two Tom);Central Labrador, Canada;North America;1;Alkaline rock;48,38;1,18;24,36548223;46,02368866;4,737732657;15,90524535;2,707275804;0,253807107;1,607445008;0,169204738;0,676818951;0,084602369;0,169204738;0;0,084602369;0;3,214890017;6,00676819;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;http://www.canadarareearth.com/article/welcome-1.asp;http://www.canadarareearth.com/redwine;;
79;65;;Bom Futuro;Rondônia, Brazil;South America;;A type granite;;;;;;;;;;;;;;;;;;;;;;;
80;66;GBM Resources Ltd;Brightlands Milo;North West Mines Province, Queensland, Australia;Australia;N;Hydrothermal/IOCG (Tailings);11,5;0,06;24,59016393;42,62295082;3,278688525;13,1147541;1,639344262;0;1,639344262;0;1,639344262;0;1,639344262;0;1,639344262;0;8,196721311;14,75409836;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;Hellman, P. L., & Duncan, R. K. (2014). Evaluation of rare earth element deposits. Applied Earth Science, 123(2), 107-117.；OIL GEOCHEMISTRY IDENTIFIES FURTHER TARGETS AT MILO IOCG - REE DEPOSIT IN QUEENSLAND;;Hellman, P. L., & Duncan, R. K. (2014). Evaluation of rare earth element deposits. Applied Earth Science, 123(2), 107-117.；OIL GEOCHEMISTRY IDENTIFIES FURTHER TARGETS AT MILO IOCG - REE DEPOSIT IN QUEENSLAND;
81;67;Commerce Resources Corp;Ashram (Eldor);Northern Quebec, Canada;North America;2;Carbonatite;468,686;1,88;25,99469496;46,52519894;4,827586207;16,60477454;2,068965517;0,477453581;1,114058355;0,106100796;0,424403183;0,053050398;0,106100796;0;0,053050398;0;1,644562334;3,50132626;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://commerceresources.com/projects/the-ashram-rare-earth-element-and-fluorspar-deposit/maps-figures/;;https://commerceresources.com/projects/the-ashram-rare-earth-element-and-fluorspar-deposit/;
82;68;Toyota Tsusho & Sojitz Corporation;Dongpao;Lai Chau, Vietnam;Asia;3;Carbonatite;317;10;34,62;46,88;4,14;11,55;1,24;0,62;0,57;0,07;0,18;0,03;0,06;0,01;0,03;0,004;0;0,954;Chau et al., 2017, General characteristics of rare earth and radioactive elements in Dong Pao deposit, Lai Chau, Vietnam;Moody, M. D. (2013). Mother lode: The untapped rare earth mineral resources of Vietnam. NAVAL WAR COLLEGE NEWPORT RI JOINT MILITARY OPERATIONS DEPT.;;Moody, M. D. (2013). Mother lode: The untapped rare earth mineral resources of Vietnam. NAVAL WAR COLLEGE NEWPORT RI JOINT MILITARY OPERATIONS DEPT.;
83;69;The Vietnamese government;Nam Xe;Lai Chau, Vietnam;Asia;1;Carbonatite;770;;28,77;48,96;4,74;14,4;1,45;0,29;0,55;0,05;0,16;0,02;0,03;0,003;0,02;0,002;0,54;1,375;Thi and Wada, 2021, Temporal Emplacement Sequence of the South Nam Xe Carbonatites (Northwest Vietnam);Moody, M. D. (2013). Mother lode: The untapped rare earth mineral resources of Vietnam. NAVAL WAR COLLEGE NEWPORT RI JOINT MILITARY OPERATIONS DEPT.;;Moody, M. D. (2013). Mother lode: The untapped rare earth mineral resources of Vietnam. NAVAL WAR COLLEGE NEWPORT RI JOINT MILITARY OPERATIONS DEPT.;
84;70;Kazatompro;Uranium mine tailings in Kazakhstan;Kazakhstan;Asia;N;Tailings of Uranium deposit;;;;;;;;;;;;;;;;;;;;https://www.sohu.com/a/158006064_99913194;Thi, T. N., & Wada, H. (2021). Temporal Emplacement Sequence of the South Nam Xe Carbonatites (Northwest Vietnam). Journal of Geological Resource and Engineering, 9, 13-24.;;
85;71;Appia Energy Corp.;Alces Lake;Saskatchewan, Canada;North America;1;Biotite enriched Shear zone;;;;;;;;;;;;;;;;;;;;http://www.appiaenergy.ca/;;;
86;72;;Teasdale (/Elliot Lakea);Elliott Lake Region, Canada;North America;1;Paleo-sedimentary formation;8,2;0,159;25;45,83333333;4,6875;14,58333333;2,604166667;0;1,5625;0;1,041666667;0;0,520833333;0;0,520833333;0;3,645833333;7,291666667;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;http://www.appiaenergy.ca/projects/elliot-lake-property/teasdale-lake-zone/;;http://www.appiaenergy.ca/projects/elliot-lake-property/teasdale-lake-zone/;
87;73;Search minerals Inc.;Foxtrot;Southeastern Labrador, Canada;North America;1;Alkaline rock;10,35;1,107;18,04733728;38,46153846;4,339250493;15,7790927;2,859960552;0,098619329;2,268244576;0,394477318;2,071005917;0,394477318;1,183431953;0,197238659;0,986193294;0,197238659;12,72189349;20,41420118;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;http://searchminerals.ca/investors/presentations;Miller, R. R. (2015). Pantellerite-hosted rare earth element mineralization in southeast Labrador: The Foxtrot deposit. In Symposium on critical and strategic materials. British Columbia Geological Survey Paper (Vol. 3, p. 109).;http://www.searchminerals.ca/news/news-releases/search-minerals-announces-increased-deep-fox-and-foxtrot-mineral-resource-estimates;
