Project No.;Deposit No.;Company Name;Project Name;Location;Continent;" Status (2022), 1: Exploration/ Define resource; 2: Feasibility/ Pre-feasibility; 3: Construction; 4: Production; S: Suspending mining; T: Test of Metallurgical; D: Development licence; N: Not Use";Deposit type;Resource (*10^4 t, REO, Total);Grade (wt. %);La2O3;Ce2O3;Pr6O11;Nd2O3;Sm2O3;Eu2O3;Gd2O3;Tb4O7;Dy2O3;Ho2O3;Er2O3;Tm2O3;Yb2O3;Lu2O3;Y2O3;HREE percentage;REE pattern Ref.;Project and status Ref.;Deposit type Ref.;Resource and grade Ref.;
88;74;;Deep Fox;Southeastern Labrador, Canada;North America;1;Alkaline rock;;;;;;;;;;;;;;;;;;;;http://searchminerals.ca/investors/presentations;;;
89;75;;Henley Harbour;Southeastern Labrador, Canada;North America;1;Unknown;;;;;;;;;;;;;;;;;;;;;;;
90;76;ThreeArc Mining LLC;Tomtor;Sakha Republic (Yakutia), Russia;Asia;2, 4(2024);Carbonatite;323,29;11,99;23,26;45,51;4,57;15,21;1,81;0,53;1,44;0,19;0,99;0,18;0,43;0,05;0,41;0,05;5,36;9,1;Lapin et al., 2016, Distribution of REE, Y, Sc, and Th in the Unique Complex Rare-Metal Ores of the Tomtor Deposit;https://www.threearc.ru/en/;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
91;;;Monazite Inventory of the USSR;Russia;Europe;;——;;;;;;;;;;;;;;;;;;;;;;;
92;77;Technoinvest Alliance;Zashikhinskoye/Zashikhinsky;Nizhnyaya Uda, Irkutsk region, Russia;Asia;3, 4(2025);Alkaline granite;;;0,02;0;0;0;2,19;0,52;4,22;0;7,93;2,55;5,51;0,98;6,69;0;69,4;97,28;Alymova and Vladykin, 2021, Geochemistry, Mineralogy and Ore Content of Alkaline Granite Magmatism of East Sayan Zone (On the Example of Zashikhinsky Deposit). In Alkaline Rocks, Kimberlites and Carbonatites: Geochemistry and Genesis (pp. 6;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
93;78;LLC Lovozersky GOK;Lovozersky/Lovozero;Murmansk, Russia;Europe;4;Alkaline rock;717,4;1,12;25;50;5;15;0,7;0,09;0,6;0;0,6;0,7;0,8;0,1;0,2;0,15;1,3;4,45;China Northern Rare Earth (Group)High-Tech Co.,Ltd;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
94;79;Apatit JSC (PhosAgro PJSC);Khibiny (Kukisvumchorr/Kukisvumchorr);Khibiny, Murmansk, Russia;Europe;N;Alkaline rock (Apatite-nepheline tailing);894,6;0,31;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
95;;;Khibiny (Yuksporskoe/Yukspor);Khibiny, Murmansk, Russia;Europe;N;Alkaline rock (Apatite-nepheline tailing);;;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
96;;;Khibiny (Apatitovy Cirque);Khibiny, Murmansk, Russia;Europe;N;Alkaline rock (Apatite-nepheline tailing);;;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
97;;;Khibiny (Koashvinskoe);Khibiny, Murmansk, Russia;Europe;N;Alkaline rock (Apatite-nepheline tailing);;;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
98;;North-West Phosphorous Company JSC (PJSC Acron);Khibiny (Deer Creek);Khibiny, Murmansk, Russia;Europe;N;Alkaline rock (Apatite-nepheline tailing);;;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
99;;ZAO “GK”Partomchorr” (PAO “FosAgro”);Khibiny (Partomchorrskoye);Murmansk, Russia;Europe;1;Alkaline rock (Apatite-nepheline tailing);;;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
100;80;;Chuktokun;Krasnoyarsk, Russia;Asia;N;Carbonatite;286,23;5,38;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
101;81;;Seligdar ;Sakha Republic (Yakutia), Russia;Asia;N;Alkaline rock (Apatite-carbonate);441,04;0,35;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
102;82;;Beloziminskoe;Irkutsk region, Russia;Asia;N;Carbonatite;164,59;0,9;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
103;83;LLC YaregaRuda, LLC LUKOIL-Komi (PJSC LUKOIL);Yaregskoe;Ukhta, Komi Republic, Russia;Europe;1;Oil-bearing leucoxene sandstones;103,11;0,04;;;;;;;;;;;;;;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
104;84;Companhia Brasileira de Metalurgia e Mineração;Araxá;Araxa, Minas Gerais, Brazil;South America;4;Carbonatite;120;3;28,0418251;49,40589354;4,538973384;13,85456274;1,497148289;0,33269962;0,689163498;0,071292776;0,285171103;0,047528517;0,071292776;0;0,047528517;0;1,116920152;2,328897338;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;https://miningdataonline.com/property/1512/Araxa-Mine.aspx;;"TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8; https://cbmm.com/zh/partner-with-cbmm/our-company/about-cbmm；https://www.mining120.com/tech/show-htm-itemid-27615.html";
105;;Itafos（MBAC Fertilizer Corp）;Area Zero (in Araxá);Araxa, Minas Gerais, Brazil;South America;;Carbonatite;119,1;4,22;;;;;;;;;;;;;;;;;;"https://www.itafos.com/projects/itafos-araxa/；https://www.itafos.com/investors/presentations-fact-sheets/; TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8.";;https://www.itafos.com/projects/itafos-araxa/；https://www.itafos.com/investors/presentations-fact-sheets/;
106;85;Frontier Rare Earths Ltd.;Zandkopsdrift;Northern Cape province, South Africa;Africa;2;Carbonatite;86,8;2,04;25,35842294;44,04121864;4,614695341;15,86021505;2,284946237;0,582437276;1,433691756;0,17921147;0,761648746;0,134408602;0,313620072;0,044802867;0,224014337;0,044802867;4,121863799;7,258064516;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;;https://frontierrareearths.com/chinese/;Frontier-Corporate-Presentation_Jan-2015;
107;86;Galileo Resources Plc;Glenover;Limpopo Province, South Africa;Africa;N;Carbonatite (Tailings);35,87;1,24;16,8623767;44,90371066;5,730389854;22,21700329;3,522780648;0,892437764;2,019727572;0,187881635;0,751526538;0,093940817;0,187881635;0;0,093940817;0;2,536402067;5,87130108;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;Geological Report and Resource Estimate for the Glenover Carbonatite Project;Geological Report and Resource Estimate for the Glenover Carbonatite Project;https://galileoresources.com/glenover-rare-earth-project/;
108;87;Tantalum Holding Ltd (ex-owner);Ambohimirahavavy;Ampassidawa Peninsula, Madagascar;Africa;N;Ionic Clay;17,67;0,0897;19,37;40,67;4,01;12,93;2,26;0,21;2,05;0,34;2,2;0,45;1,43;0,21;1,38;0,18;12,3;20,54;Estrade et al., 2019, REE concentration processes in ion adsorption deposits: Evidence from the Ambohimirahavavy alkaline complex in Madagascar;Wilmet, L., Devillers, P., & Beudels-Jamar, R. C. (2017). Priceless ecosystems threatened by a rare earth mining project in northwest Madagascar–Ampasindava Peninsula. Lemur News, 20, 3-4.;;Estrade, G., Marquis, E., Smith, M., Goodenough, K., & Nason, P. (2019). REE concentration processes in ion adsorption deposits: Evidence from the Ambohimirahavavy alkaline complex in Madagascar. Ore Geology Reviews, 112, 103027.;
109;88;QIT Madagascar Minerals;Mandena;Mandena, Madagascar;Africa;4;Placer;25,3;1,3;21,2;48,79;5,49;19;2,56;0,01;1,35;0,1;0,29;0,02;0,06;0,01;0,08;0,01;1,02;2,94;Hao et al., 2018, High-level natural radionuclides from the Mandena deposit, South Madagascar;Van Hao, D., Dinh, C. N., Jodłowski, P., & Kovacs, T. (2019). High-level natural radionuclides from the Mandena deposit, South Madagascar. Journal of Radioanalytical and Nuclear Chemistry, 319(3), 1331-1338.；https://www.riotinto.com/operations/madagascar/qit-madagascar-minerals;Van Hao, D., Dinh, C. N., Jodłowski, P., & Kovacs, T. (2019). High-level natural radionuclides from the Mandena deposit, South Madagascar. Journal of Radioanalytical and Nuclear Chemistry, 319(3), 1331-1338.;Van Hao, D., Dinh, C. N., Jodłowski, P., & Kovacs, T. (2019). High-level natural radionuclides from the Mandena deposit, South Madagascar. Journal of Radioanalytical and Nuclear Chemistry, 319(3), 1331-1338.;
110;89;New Democratic Army Kachin;Northern Myanmar;Kachin state, Myanmar;Asia;4;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://www.globaltimes.cn/page/202103/1218983.shtml；https://roskill.com/news/rare-earths-myanmar-coup-detat-creates-more-uncertainty-for-heavy-rare-earth-supply/;;;
111;90;Unknown;South Central Thailand;South Central Thailand;Asia;4;Placer;;;;;;;;;;;;;;;;;;;;Charusiri, P., Sutthirat, C., & Daorerk, V. (2009). Introduction to rare-earth metal resources in Thailand.;Charusiri, P., Sutthirat, C., & Daorerk, V. (2009). Introduction to rare-earth metal resources in Thailand.;;
112;91;Unknown;Perak;Perak, Malaysia;Asia;N;Placer (Tailings of Tin deposit);;;;;;;;;;;;;;;;;;;;;;;
113;92;BHP;Olympic Dam (OC Sulphide);South Australia;Australia;N;IOCG (Tailings);6111,05;0,55;36,36;57,2;;;;;;;;;;;;;;;Weng et al., 2015;;Weng, Z., Jowitt, S. M., Mudd, G. M., & Haque, N. (2015). A detailed assessment of global rare earth element resources: opportunities and challenges. Economic Geology, 110(8), 1925-1952.;https://www.bhp.com/investor-centre/annual-report-2020/；Weng, Z., Jowitt, S. M., Mudd, G. M., & Haque, N. (2015). A detailed assessment of global rare earth element resources: opportunities and challenges. Economic Geology, 110(8), 1925-1952.;
114;;;Olympic Dam (UG Sulphide);South Australia;Australia;N;IOCG (Tailings);;;36,36;57,2;;;;;;;;;;;;;;;Weng et al., 2015;;;https://www.bhp.com/investor-centre/annual-report-2020/；Weng, Z., Jowitt, S. M., Mudd, G. M., & Haque, N. (2015). A detailed assessment of global rare earth element resources: opportunities and challenges. Economic Geology, 110(8), 1925-1952.;
115;93;Defense Metals;Wicheeda;Prince George, British Columbia, Canada;North America;2(2025);Carbonatite;68,6941;2;36,42;47,73;3,7;9,28;0,9;0,21;0,58;0,05;0,2;0,03;0,06;0,01;0,04;0,01;0,79;1,77;Dalsin et al., 2015, The mineralogy and geochemistry of the Wicheeda Carbonatite Complex, British Columbia, Canada;;;https://www.defensemetals.com/_files/ugd/1b0da6_e8f7b5aa25834742a3e09514b07f135a.pdf;
116;94;Great Western Minerals Group Ltd;Hoidas Lake;Northern Saskatchewan, Canada;North America;;Hydrothermal/IOCG;3,51;2,3;20,44129892;46,62781016;5,95337219;20,56619484;2,706078268;0,541215654;1,248959201;0,12489592;0,333055787;0;0,24979184;0;0,041631973;0;1,165695254;3,164029975;Paulick, H., & Machacek, E. (2017). The global rare earth element exploration boom: An analysis of resources outside of China and discussion of development perspectives. Resources Policy, 52, 134-153.;;Halpin, K. M. (2010). The characteristics and origin of the Hoidas Lake REE deposit (Doctoral dissertation, University of Saskatchewan).;CITIC Securities Co., Ltd report, 2020;
117;95;Mining Development Company;Pocos de Caldas;Brazil;South America;;Carbonatite;20,23;2,89;20,35;48,42;4,5;13,58;1,76;0,49;1,46;0,2;1,12;0,18;0,53;0,07;0,44;0,06;6,83;10,89;Schorscher and Shea, 1992, The regional geology of the Pogos de Caldas alkaline complex: mineralogy and geochemistry of selected nepheline syenites and phonolites ;POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8.;
118;96;Unknown;Pitinga;Brazil;South America;;Alkaline granite;2;1;3,34;11,82;1,51;6,57;1,85;0,05;2,04;0,93;8,08;2,03;8,88;2,12;15,21;2,16;33,41;74,86;Alves et al., 2018, Weathering of the Madeira world-class Sn-Nb-Ta (Cryolite, REE, U, Th) deposit, Pitinga Mine (Amazon, Brazil);POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8.;
119;97;Unknown;Catala˜o I;Goiás, Brazil;South America;;Carbonatite;654,5;5,5;34,42;50,22;3,69;10,7;0,45;0,21;0,12;0;0,18;0;0;0;0;0;0;0,3;Chen et al., 2017, Geochemistry of Monazite within Carbonatite Related REE Deposits;POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8.;
120;98;Unknown;Catala˜o II;Goiás, Brazil;South America;;Carbonatite;24,5;0,98;;;;;;;;;;;;;;;;;;POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;TAKEHARA, L., SILVEIRA, F., & SANTOS, R. Chapter 4-potentiality of rare earth elements in Brazil. Rare Earths Industry. 2016. Doi: 10.1016. B978-0-12-802328-0.00004-8.;
121;99;Unknown;Paraı ´ba (Guaju Mine) ;Paraı ´ba, Brazil;South America;;Placer;;;;;;;;;;;;;;;;;;;;POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;;
122;100;Unknown;Rio de Janeiro (Buena Mine);Rio de Janeiro, Brazil;South America;;Placer;;;;;;;;;;;;;;;;;;;;POTENTIALITY OF RARE EARTH ELEMENTS IN BRAZIL;;;
123;101;Aclara Resources ;Penco Module (Biolantanidos);Biobio, Chile;South America;4(2026);Ionic Clay;5,4967;0,2415;11,6;4;2,9;12,5;2,6;0,2;3,1;0,7;5,5;1,3;4;0,5;3,1;0,5;47,4;66,1;https://uploads-ssl.webflow.com/6267a587be31507747a1c8b6/62827cbee3973f2e40c90e4d_Aclara-Canaccord-Presentation-May.-2022_final.pdf;"https://uploads-ssl.webflow.com/6267a587be31507747a1c8b6/62827cbee3973f2e40c90e4d_Aclara-Canaccord-Presentation-May.-2022_final.pdf; https://www.mining-technology.com/news/hochschild-demerge-chilean-rare-earth/";"https://uploads-ssl.webflow.com/6267a587be31507747a1c8b6/62827cbee3973f2e40c90e4d_Aclara-Canaccord-Presentation-May.-2022_final.pdf; https://www.mining-technology.com/news/hochschild-demerge-chilean-rare-earth/";https://uploads-ssl.webflow.com/6267a587be31507747a1c8b6/62827cbee3973f2e40c90e4d_Aclara-Canaccord-Presentation-May.-2022_final.pdf;
124;102;Monumental Minerals Corp.;Jemi ;Coahuila, Mexico;North America;1;Alkaline rock;;;;;;;;;;;;;;;;;;;;https://monumentalminerals.com/jemi/;https://monumentalminerals.com/jemi/;;
125;103;Altona;Monte Muambe;Mozambique;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://www.altonare.com/investors/reports/;https://www.altonare.com/investors/reports/;;
126;104;SOQUEM;Fosse du Labrador;Québec, Canada;North America;1;VMS and orogenic gold;;;;;;;;;;;;;;;;;;;;https://soquem.qc.ca/map/;https://soquem.qc.ca/map/;;
127;105;;Kwyjibo;Lake Manitou, Québec, Canada;North America;1;IOCG;23,6082;2,86;;;;;;;;;;;;;;;;;;https://soquem.qc.ca/map/;https://soquem.qc.ca/map/;https://www.soquem.qc.ca/wp-content/uploads/kwyjibo-20180628-francais.pdf;
128;106;SOQUEM, Azimut;Rex South;Minto Subprovince, Québec, Canada;North America;1;Unknown;;;;;;;;;;;;;;;;;;;;https://soquem.qc.ca/map/;https://soquem.qc.ca/map/;;
129;107;;Rex-Duquet;Qalluviartuuq, Québec, Canada;North America;1;Unknown;;;;;;;;;;;;;;;;;;;;https://soquem.qc.ca/map/;https://soquem.qc.ca/map/;;
130;108;Antler Gold;Kesya; Kafue, Zambia;Africa;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://antlergold.com/projects/kesya-rare-earth-project;https://antlergold.com/projects/kesya-rare-earth-project;;
131;109;Meeka Gold Ltd;Cascade;Esperance, Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://meekametals.com.au/cascade-rare-earth-project/;https://meekametals.com.au/cascade-rare-earth-project/;;
132;110;;Circle valley;Norseman, Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://meekametals.com.au/cascade-rare-earth-project/;https://meekametals.com.au/cascade-rare-earth-project/;;
133;111;Venus Metals;Mangaroon;Gascoyne, Australia;Australia;1;Carbonatite;;;;;;;;;;;;;;;;;;;;https://www.venusmetals.com.au/our-projects/mangaroon-north-rare-earth-base-metals-project;https://www.venusmetals.com.au/our-projects/mangaroon-north-rare-earth-base-metals-project;;
134;112;Mount Ridley Mines Limited ;Mt Ridley;Mount Ridley, Western Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://stockhead.com.au/resources/drilling-kicks-off-at-mount-ridleys-namesake-rare-earth-project/;https://stockhead.com.au/resources/drilling-kicks-off-at-mount-ridleys-namesake-rare-earth-project/;;
135;113;Godolphin Resources Limited;Narraburra;the central west of NSW, Australia;Australia;1;Alkaline rock;3,4624;0,0473;;;;;;;;;;;;;;;;;;https://resourcesreview.com.au/projects/diamond-drilling-program-approved-for-narraburra-rare-earth-project/;https://resourcesreview.com.au/projects/diamond-drilling-program-approved-for-narraburra-rare-earth-project/;https://godolphinresources.com.au/narraburra;
136;114;Indiana Resources Limited’s;Lake Labyrinth Shear Zone;South Australia;Australia;1;IOCG;;;;;;;;;;;;;;;;;;;;https://www.theassay.com/news/indiana-identifies-rare-earth-potential-at-central-gawler-project/;https://www.theassay.com/news/indiana-identifies-rare-earth-potential-at-central-gawler-project/;;
137;115;Petratherm Limited;Comet;South Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;https://www.petratherm.com.au/;https://www.petratherm.com.au/;;
138;116;Terrain Minerals Ltd;Lort River;Esperance, Australia;Australia;1;Ionic Clay;;;;;;;;;;;;;;;;;;;;http://terrainminerals.com.au/;http://terrainminerals.com.au/;;
139;117;Eti Maden;Kızılcaören ;Eskişehir, Turkey;Asia;1;Carbonatite;13,2884;2,78;;;;;;;;;;;;;;;;;;Öztürk, H., Altuncu, S., Hanilçi, N., Kasapçı, C., & Goodenough, K. M. (2019). Rare earth element-bearing fluorite deposits of Turkey: An overview. Ore Geology Reviews, 105, 423-444.;Öztürk, H., Altuncu, S., Hanilçi, N., Kasapçı, C., & Goodenough, K. M. (2019). Rare earth element-bearing fluorite deposits of Turkey: An overview. Ore Geology Reviews, 105, 423-444.; Rare earth element-bearing fluorite deposits of Turkey: An overview. Ore Geology Reviews, 105, 423-444.;
140;118;China Northern Rare Earth (Group)High-Tech Co.,Ltd;Bayan Obo;China;Asia;4;Carbonatite;10000;5,6;25;50,07;5,1;16,6;1,2;0,18;0,7;0;0;0;0;0;0;0;0,43;1,13;China Northern Rare Earth (Group)High-Tech Co.,Ltd;Chunlong Li, Xiaogang Li, and Raoguang Xu,2015, Technology development and industrialization of resources comprehensive utilization of intergrowth and associated ore in Baiyun Obo. Rare Earth, 36(5), 151-158.;Chunlong Li, Xiaogang Li, and Raoguang Xu,2015, Technology development and industrialization of resources comprehensive utilization of intergrowth and associated ore in Baiyun Obo. Rare Earth, 36(5), 151-158.;Chunlong Li, Xiaogang Li, and Raoguang Xu,2015, Technology development and industrialization of resources comprehensive utilization of intergrowth and associated ore in Baiyun Obo. Rare Earth, 36(5), 151-158.;
141;119;China Rare Earth Group CO., LTD.;Weishan;China;Asia;4;Alkaline;44;4,6;35,46;47,76;3,95;10,9;0,79;0,13;0,53;0,14;-;-;-;-;0,03;-;0,76;1,46;China Northern Rare Earth (Group)High-Tech Co.,Ltd;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;
142;120;;Dalucao;China;Asia;4;Carbonatite;8,2;5,21;25,06069179;41,81938111;4,384718738;14,3336721;2,399292015;0,715670687;1,784796803;0,240642534;1,068980885;0,18552043;0,541605328;0,068703061;0,433573139;0,062388898;6,900362483;11,28657356;Shu er al., 2019, Geochemical characteristics and geological significance of fenites in the Mianning-Dechang REE belt, western Sichuan Province;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;
143;121;;Yangfang;China;Asia;4;Carbonatite;13,3;2,4;37,34;46,88;3,96;10,24;0,81;0,1;0,3;0,04;0,08;0,02;0,05;0,01;0,01;0;0,18;0,69;China Northern Rare Earth (Group)High-Tech Co.,Ltd;https://pdf.dfcfw.com/pdf/H3_AP202105301494845145_1.pdf?1622453411000.pdf;https://pdf.dfcfw.com/pdf/H3_AP202105301494845145_1.pdf?1622453411000.pdf;https://pdf.dfcfw.com/pdf/H3_AP202105301494845145_1.pdf?1622453411000.pdf;
144;122;;Maoniuping;China;Asia;4;Carbonatite;317;2,95;20,63982449;43,94693069;4,384400359;16,58927846;2,657195484;0,680333327;2,09400498;0,244293288;1,090718572;0,200311788;0,601485851;0,080312958;0,437538909;0,064478122;6,288892726;11,10203719;China Northern Rare Earth (Group)High-Tech Co.,Ltd;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;
145;123;;Muluozhai;China;Asia;4;Carbonatite;10;3,97;26,26490247;45,0592912;4,689198366;15,48742669;2,223115963;0,518131026;1,309940513;0,154004084;0,64151027;0,098579783;0,2382245;0,037303717;0,228492329;0,031004164;3,018874915;5,757934277;Ouyang and Liu, 2019, REE mineralization and characteristics of wall rocks in the muluozhai REE deposit, Mianning county, Sichuan Province;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;Fan H R, Niu H C, Li X C, et al. The types, ore genesis and resource perspective of endogenic REE deposits in China (in Chinese). Chin Sci Bull, 2020, 65:3778–3793, doi: 10.1360/TB-2020-0432;
146;124;;South China seven proveince;China;Asia;4;Clays;840;0,02;18,53;3,61;4,4;17,64;4,17;0,56;5;0,83;4,72;0,83;2,5;0,42;1,81;0,14;34,84;51,09;;Li, Y. H. M., Zhao, W. W. & Zhou, M.-F. Nature of parent rocks, mineralization styles and ore genesis of regolith-hosted REE deposits in South China: an integrated genetic model. J. Asian Earth Sci. 148, 65–95 (2017).;Li, Y. H. M., Zhao, W. W. & Zhou, M.-F. Nature of parent rocks, mineralization styles and ore genesis of regolith-hosted REE deposits in South China: an integrated genetic model. J. Asian Earth Sci. 148, 65–95 (2017).;Personal conmunacation with Prof. Hanjie Wen;